GeoID,FD_num_2015,FD_pct_2015
5093,5863,12.61
5095,1020,12.52
5097,2109,22.23
5099,2632,29.25
5101,3653,43.85
5103,6757,25.87
5105,1491,14.27
5107,10961,50.38
5109,2603,23.06
5111,8364,34.02
5113,7940,38.43
5115,8395,13.59
5117,3227,37.03
5119,101839,26.61
5121,5763,32.07
5123,7660,27.11
5125,23913,22.32
5127,1943,17.30
5129,2757,33.64
5131,12919,10.27
5133,4002,23.46
5135,3878,22.47
5137,3116,25.14
5139,10944,26.28
5141,1775,10.26
5143,29544,14.55
5145,9452,12.26
5147,382,5.26
5149,2856,12.87
6001,107964,7.15
6003,575,48.95
6005,5338,14.01
6007,46598,21.18
6009,4578,10.04
6011,1771,8.27
6013,200374,19.10
6015,9166,32.04
6017,52705,29.11
6019,85484,9.19
6021,2538,9.02
6023,21099,15.67
6025,30616,17.54
6027,7628,41.13
6029,122097,14.54
6031,29477,19.27
6033,12117,18.74
6035,17122,49.07
6037,622625,6.34
6039,31477,20.86
6041,30189,11.96
6043,3194,17.50
6045,15255,17.37
6047,40077,15.67
6049,2571,26.54
6051,7068,49.77
6053,51148,12.32
6055,13840,10.14
6057,26700,27.03
6059,195971,6.51
6061,54219,15.56
6063,1622,8.11
6065,437849,20.00
6067,193705,13.65
6069,9766,17.67
6071,433153,21.28
6073,424211,13.70
6075,4474,0.56
6077,86687,12.65
6079,42276,15.68
6081,69489,9.67
6083,57598,13.59
6085,132928,7.46
6087,36862,14.05
6089,41275,23.29
6091,2863,88.37
6093,8890,19.80
6095,72339,17.50
6097,74694,15.44
6099,60420,11.74
6101,31557,33.31
6103,12744,20.08
6105,2390,17.34
6107,59680,13.50
6109,16108,29.09
6111,130817,15.89
6113,12376,6.16
6115,14994,20.78
8001,66896,15.15
8003,915,5.93
8005,69482,12.15
8007,3601,29.80
8009,955,25.22
8011,1681,25.86
8013,43147,14.65
8014,16647,29.79
8015,1783,10.01
8017,622,33.86
8019,1263,13.89
8021,464,5.62
