GeoID,Pop_2015,FD_num_2015,FD_pct_2015
5137,12430,3116,25.14
5139,40158,10944,26.28
5141,16780,1775,10.26
5143,224233,29544,14.55
5145,79013,9452,12.26
5147,6727,382,5.26
5149,21607,2856,12.87
6001,1632747,107964,7.15
6003,1106,575,48.95
6005,37026,5338,14.01
6007,225251,46598,21.18
6009,44840,4578,10.04
6011,21318,1771,8.27
6013,1123231,200374,19.1
6015,27301,9166,32.04
6017,184359,52705,29.11
6019,972130,85484,9.19
6021,27961,2538,9.02
6023,135383,21099,15.67
6025,179806,30616,17.54
6027,18251,7628,41.13
6029,879497,122097,14.54
6031,150331,29477,19.27
6033,64446,12117,18.74
6035,31333,17122,49.07
6037,10112255,622625,6.34
6039,154306,31477,20.86
6041,261054,30189,11.96
6043,17553,3194,17.5
6045,87353,15255,17.37
6047,267101,40077,15.67
6049,8933,2571,26.54
6051,13885,7068,49.77
6053,432007,51148,12.32
6055,141854,13840,10.14
6057,98829,26700,27.03
6059,3156573,195971,6.51
6061,374383,54219,15.56
6063,18401,1622,8.11
6065,2352892,437849,20.0
6067,1496644,193705,13.65
6069,58473,9766,17.67
6071,2122545,433153,21.28
6073,3290245,424211,13.7
6075,862004,4474,0.56
6077,723496,86687,12.65
6079,280960,42276,15.68
6081,763191,69489,9.67
6083,443815,57598,13.59
6085,1910105,132928,7.46
6087,273627,36862,14.05
6089,179301,41275,23.29
6091,2983,2863,88.37
6093,43483,8890,19.8
6095,434321,72339,17.5
6097,501474,74694,15.44
6099,535385,60420,11.74
6101,95978,31557,33.31
6103,63073,12744,20.08
6105,13068,2390,17.34
6107,458238,59680,13.5
6109,53615,16108,29.09
6111,847719,130817,15.89
6113,212202,12376,6.16
6115,74299,14994,20.78
8001,490674,66896,15.15
8003,16435,915,5.93
8005,629241,69482,12.15
8007,12384,3601,29.8
8009,3599,955,25.22
8011,5892,1681,25.86
8013,318738,43147,14.65
8014,64885,16647,29.79
8015,18606,1783,10.01
8017,1816,622,33.86
8019,9364,1263,13.89
8021,8125,464,5.62
8023,3563,3522,99.94
8025,5639,459,7.89
8027,4425,1101,25.89
8029,29950,2612,8.44
8031,680032,55276,9.21
8033,1981,2064,100.0
8035,322381,54681,19.16
8037,53346,8058,15.44
8039,24698,5986,25.93
8041,674290,168374,27.06
8043,46713,16168,34.53
8045,57768,8633,15.31
8047,5817,0,0.0
8049,14580,422,2.84
8051,16137,1839,12.0
8053,769,99,11.78
8055,6459,2460,36.65
8057,1352,382,27.42
8059,565143,121653,22.76
8061,1414,1398,100.0
8063,8234,921,11.14
8065,7461,1456,19.92
8067,54770,7347,14.31
8069,333869,56628,18.9
8071,14067,6182,39.86
8073,5551,1247,22.8
8075,21946,4438,19.54
8077,148401,46154,31.46
8079,724,91,12.8
8081,12899,3230,23.42
8083,26153,4196,16.43
8085,40800,8466,20.51
8087,28323,3374,11.98
8089,18284,5578,29.62
8091,4660,273,6.16
8093,16581,8729,53.86
8095,4326,209,4.71
8097,17782,1568,9.15
8099,11949,2997,23.88
8101,163117,58656,36.88
8103,6548,572,8.58
8105,11467,1460,12.19
8107,24325,5254,22.35
8109,6209,1235,20.23
8111,694,694,99.24
8113,7849,719,9.77
8115,2385,442,18.57
8117,29892,5175,18.49
8119,23329,3004,12.86
8121,4860,2485,51.62
8123,285053,37099,14.67
8125,10095,2301,22.91
9001,944674,268768,29.31
9003,894692,259189,28.99
9005,183776,34657,18.25
9007,163577,52122,31.46
9009,859073,247957,28.75
9011,270639,99028,36.13
9013,151684,53337,34.93
9015,116615,18808,15.88
10001,173533,25573,15.76
10003,555167,122164,22.69
10005,215376,27649,14.02
11001,670377,12688,2.11
12001,259402,37664,15.23
12003,27424,8982,33.13
12005,181947,56308,33.35
12007,26935,1580,5.54
12009,567934,218702,40.25
12011,1887281,158492,9.07
12013,14468,2636,18.02
12015,173194,66893,41.81
12017,140974,43886,31.07
12019,203383,46476,24.35
12021,356570,90597,28.18
12023,68286,11078,16.4
12027,35355,3455,9.91
12029,16187,1484,9.04
12031,912081,213634,24.72
12033,311236,108622,36.5
12035,105188,33041,34.53
12037,11749,287,2.49
12039,46032,3971,8.56
12041,17181,75,0.44
12043,13607,7332,56.9
12045,15874,2972,18.74
12047,14303,3266,22.07
12049,27252,9788,35.3
12051,38890,9641,24.63
