GeoID,Pop_2015
6091,2983
6093,43483
6095,434321
6097,501474
6099,535385
6101,95978
6103,63073
6105,13068
6107,458238
6109,53615
6111,847719
6113,212202
6115,74299
8001,490674
8003,16435
8005,629241
8007,12384
8009,3599
8011,5892
8013,318738
8014,64885
8015,18606
8017,1816
8019,9364
8021,8125
8023,3563
8025,5639
8027,4425
8029,29950
8031,680032
8033,1981
8035,322381
8037,53346
8039,24698
8041,674290
8043,46713
8045,57768
8047,5817
8049,14580
8051,16137
8053,769
8055,6459
8057,1352
8059,565143
8061,1414
8063,8234
8065,7461
8067,54770
8069,333869
8071,14067
8073,5551
8075,21946
8077,148401
8079,724
8081,12899
8083,26153
8085,40800
8087,28323
8089,18284
8091,4660
8093,16581
8095,4326
8097,17782
8099,11949
8101,163117
8103,6548
8105,11467
8107,24325
8109,6209
8111,694
8113,7849
8115,2385
8117,29892
8119,23329
8121,4860
8123,285053
8125,10095
9001,944674
9003,894692
9005,183776
9007,163577
9009,859073
9011,270639
9013,151684
9015,116615
10001,173533
10003,555167
10005,215376
11001,670377
12001,259402
12003,27424
12005,181947
12007,26935
12009,567934
12011,1887281
12013,14468
12015,173194
12017,140974
12019,203383
12021,356570
12023,68286
12027,35355
12029,16187
12031,912081
12033,311236
12035,105188
12037,11749
12039,46032
12041,17181
12043,13607
12045,15874
12047,14303
12049,27252
12051,38890
12053,178326
12055,99447
12057,1347077
12059,19329
12061,147792
12063,48590
12065,14071
12067,8628
12069,325518
12071,700285
12073,286187
12075,39688
12077,8323
12079,18398
12081,363110
12083,343514
12085,155804
12086,2692593
12087,78728
12089,78470
12091,198681
12093,39409
12095,1284864
12097,323028
12099,1421843
12101,497292
12103,948391
12105,649425
12107,71910
12109,226658
12111,298307
12113,166850
12115,404903
12117,448722
12119,118882
12121,43651
12123,22471
12125,15180
12127,518190
12129,31516
12131,63459
12133,24671
13001,18437
13003,8350
13005,11281
13007,3160
13009,45431
13011,18468
13013,75107
13015,102533
13017,17354
13019,18966
13021,153540
13023,12782
13025,18449
13027,15692
13029,35052
13031,73213
13033,22742
13035,23548
13037,6465
13039,52543
13043,10935
13045,114689
13047,65897
13049,13009
13051,286622
13053,11462
13055,24882
13057,235609
13059,123629
13061,3080
13063,273567
13065,6885
13067,740144
13069,43071
13071,45755
13073,144080
13075,17085
13077,138278
13079,12411
13081,22850
13083,16202
13085,23256
13087,27183
13089,732758
13091,20863
13093,13923
13095,91259
13097,140671
13099,10487
13101,4045
13103,57155
13105,19302
13107,22659
13109,10724
13111,24285
13113,110546
13115,96303
13117,212125
13119,22319
13121,1007803
13123,29376
13125,3034
13127,83634
13129,56323
13131,25124
13133,16734
13135,892926
13137,43926
13139,193257
13141,8578
13143,28856
13145,33212
13147,25506
13149,11522
13151,217004
13153,149962
13155,9227
13157,63038
13159,13624
13161,14922
13163,16067
13165,8943
13167,9595
13169,28554
13171,18272
13173,10270
13175,47743
13177,29282
13179,62529
13181,7685
13183,17799
13185,113739
13187,31294
13189,21525
13191,13939
13193,13663
13195,28396
13197,8637
13199,21191
13201,5846
13205,22493
13207,27107
13209,8994
13211,18011
13213,39476
13215,199651
13217,105324
13219,35872
13221,14925
13223,152253
13225,26665
13227,30301
13229,19130
13231,17943
13233,41405
13235,11363
13237,21274
13239,2303
13241,16267
13243,7156
13245,201401
13247,88678
13249,5162
13251,14123
13253,8606
13255,64016
13257,25500
13259,5765
13261,30744
13263,6321
13265,1638
13267,25205
13269,8314
13271,16480
13273,9099
13275,45038
13277,40722
13279,27166
13281,11163
13283,6755
13285,69747
13287,8036
13289,8297
13291,22251
13293,26292
13295,68053
13297,88495
13299,35422
13301,5458
13303,20804
13305,29539
13307,2635
13309,7897
13311,28402
13313,103976
13315,8864
13317,9890
13319,9148
13321,20708
15001,196156
15003,993166
15005,88
15007,71478
15009,164269
16001,433467
16003,3839
16005,83911
16007,5901
16009,9035
16011,44976
16013,21548
16015,7012
16017,41796
16019,109997
16021,11334
16023,2501
16025,1065
16027,207086
16029,6765
16031,23497
16033,872
16035,8479
16037,4087
16039,25790
16041,13033
16043,12813
16045,16907
16047,15193
16049,16260
16051,27153
16053,22716
16055,150364
16057,38723
16059,7752
16061,3791
16063,5309
16065,38092
16067,20387
16069,40146
16071,4289
16073,11305
16075,22837
16077,7620
16079,12455
16081,10568
16083,82107
16085,10083
16087,9967
17001,66974
17003,6776
17005,16924
17007,53490
17009,6821
17011,33471
17013,4898
17015,14628
17017,12869
17019,207734
17021,33546
17023,15943
17025,13378
17027,37809
17029,52563
17031,5224823
17033,19413
17035,10857
17037,104541
17039,16260
17041,19753
17043,931819
17045,17644
17047,6520
17049,34396
17051,22059
17053,13726
17055,39427
17057,35750
17059,5278
17061,13313
17063,50499
17065,8198
17067,18539
17069,4113
17071,6971
17073,49459
17075,28651
17077,59220
17079,9591
17081,38390
17083,22306
17085,22034
17087,12837
17089,529702
17091,110795
17093,122946
17095,51416
17097,703413
17099,111304
17101,16513
17103,34427
17105,36749
17107,29540
17109,31342
17111,307188
17113,172673
17115,107377
17117,46089
17119,266071
17121,38378
17123,11980
17125,13689
17127,14752
17129,12454
17131,15839
17133,33893
17135,29196
17137,34605
17139,14921
17141,51657
17143,186315
17145,21458
17147,16380
17149,15981
17151,4204
