GeoID,Year,State,County,D_Etab,G_Etab,D_Cap,G_Cap,Pop,FD_num,FD_pct
27153,2005,Minnesota,Todd County,3,12,8202,2050,24608,9114,37.04
27157,2005,Minnesota,Wabasha County,5,4,4341,5426,21706,3166,14.59
28023,2005,Mississippi,Clarke County,6,6,2817,2817,16905,-981,-5.8
28031,2005,Mississippi,Covington County,8,6,2435,3246,19480,17,0.09
28051,2005,Mississippi,Holmes County,12,9,1671,2228,20052,3462,17.27
28051,2005,Mississippi,Winston County,12,9,1631,2175,19583,3382,17.27
28061,2005,Mississippi,Jasper County,4,4,4374,4374,17496,-2056,-11.75
28065,2005,Mississippi,Jefferson Davis County,6,5,2143,2571,12859,-3436,-26.72
28069,2005,Mississippi,Kemper County,3,4,3517,2637,10551,-5311,-50.34
28103,2005,Mississippi,Noxubee County,5,4,2394,2993,11973,-3251,-27.15
28129,2005,Mississippi,Smith County,4,4,4083,4083,16332,-2431,-14.88
28147,2005,Mississippi,Walthall County,4,3,3770,5027,15081,-3048,-20.21
28157,2005,Mississippi,Wilkinson County,5,5,2024,2024,10123,-4441,-43.87
28161,2005,Mississippi,Yalobusha County,6,4,2163,3244,12979,-1719,-13.24
28163,2005,Mississippi,Yazoo County,9,8,3123,3513,28107,7698,27.39
29095,2005,Missouri,Jackson County,82,102,8031,6456,658592,183872,27.92
29201,2005,Missouri,Scott County,9,12,4413,3309,39719,7839,19.74
29510,2005,Missouri,St. Louis city,36,116,9026,2801,324945,73306,22.56
31001,2005,Nebraska,Adams County,5,7,6197,4426,30987,11339,36.59
31025,2005,Nebraska,Cass County,3,5,8390,5034,25170,3823,15.19
31031,2005,Nebraska,Cherry County,4,4,1509,1509,6039,-3634,-60.18
31101,2005,Nebraska,Keith County,4,3,2104,2806,8418,-4772,-56.69
31107,2005,Nebraska,Knox County,3,9,2965,988,8897,-5389,-60.57
31155,2005,Nebraska,Saunders County,4,7,5115,2922,20460,3698,18.07
31161,2005,Nebraska,Sheridan County,3,7,1908,818,5726,-8130,-141.98
32007,2005,Nevada,Elko County,3,14,14920,3197,44760,23783,53.13
32031,2005,Nevada,Washoe County,23,61,17074,6437,392716,90045,22.93
34005,2005,New Jersey,Burlington County,36,93,12423,4809,447245,120306,26.9
34011,2005,New Jersey,Cumberland County,16,45,9501,3378,152022,36830,24.23
34013,2005,New Jersey,Essex County,72,311,10921,2528,786341,116879,14.86
34023,2005,New Jersey,Middlesex County,88,211,8946,3731,787329,183932,23.36
34025,2005,New Jersey,Monmouth County,52,171,12073,3671,627838,186688,29.74
34027,2005,New Jersey,Morris County,26,119,18672,4079,485472,118147,24.34
34041,2005,New Jersey,Warren County,6,26,18142,4186,108855,50714,46.59
36039,2005,New York,Greene County,8,14,6142,3510,49142,16824,34.24
36049,2005,New York,Lewis County,4,9,6693,2974,26773,2336,8.73
36051,2005,New York,Livingston County,13,13,5024,5024,65322,27261,41.73
36083,2005,New York,Rensselaer County,20,26,7805,6004,156104,48779,31.25
36103,2005,New York,Suffolk County,100,543,14776,2721,1477687,291331,19.72
36107,2005,New York,Tioga County,10,14,5161,3686,51611,12640,24.49
36109,2005,New York,Tompkins County,6,16,16572,6214,99433,46674,46.94
36119,2005,New York,Westchester County,61,461,15301,2024,933401,169699,18.18
37025,2005,North Carolina,Cabarrus County,23,27,6556,5585,150797,37995,25.2
37055,2005,North Carolina,Dare County,15,18,2223,1853,33354,4470,13.4
37081,2005,North Carolina,Guilford County,56,92,8003,4871,448192,131033,29.24
37087,2005,North Carolina,Haywood County,13,13,4391,4391,57085,14931,26.16
37105,2005,North Carolina,Lee County,13,15,3927,3403,51056,13112,25.68
37119,2005,North Carolina,Mecklenburg County,83,186,9622,4294,798701,242511,30.36
37141,2005,North Carolina,Pender County,9,8,5053,5685,45485,10211,22.45
37159,2005,North Carolina,Rowan County,21,25,6310,5301,132527,33845,25.54
37169,2005,North Carolina,Stokes County,10,8,4616,5770,46165,7407,16.04
37183,2005,North Carolina,Wake County,71,155,10507,4813,746048,221760,29.72
37189,2005,North Carolina,Watauga County,14,8,3313,5798,46390,18564,40.02
37193,2005,North Carolina,Wilkes County,7,16,9729,4256,68104,18296,26.86
38015,2005,North Dakota,Burleigh County,5,8,14875,9296,74375,34281,46.09
38099,2005,North Dakota,Walsh County,4,5,2909,2327,11639,213,1.83
39015,2005,Ohio,Brown County,10,6,4416,7360,44161,13586,30.76
39019,2005,Ohio,Carroll County,7,4,4159,7279,29118,4339,14.9
39025,2005,Ohio,Clermont County,27,27,7018,7018,189486,73394,38.73
39035,2005,Ohio,Cuyahoga County,122,344,10906,3868,1330612,284058,21.35
39049,2005,Ohio,Franklin County,113,268,9783,4124,1105497,413131,37.37
39061,2005,Ohio,Hamilton County,91,172,8904,4711,810352,347993,42.94
39067,2005,Ohio,Harrison County,4,6,3976,2651,15907,-1952,-12.27
39085,2005,Ohio,Lake County,24,37,9485,6152,227647,69907,30.71
39089,2005,Ohio,Licking County,18,26,8775,6075,157950,52836,33.45
39093,2005,Ohio,Lorain County,41,52,7192,5670,294873,99492,33.74
39111,2005,Ohio,Monroe County,5,6,2988,2490,14943,-1706,-11.42
39117,2005,Ohio,Morrow County,5,5,6854,6854,34271,10538,30.75
39127,2005,Ohio,Perry County,6,9,5875,3917,35254,8513,24.15
39133,2005,Ohio,Portage County,13,27,12113,5832,157469,35133,22.31
39145,2005,Ohio,Scioto County,17,16,4583,4870,77926,29225,37.5
39175,2005,Ohio,Wyandot County,5,8,4564,2852,22820,6795,29.78
40097,2005,Oklahoma,Mayes County,10,12,3967,3305,39670,7729,19.48
40101,2005,Oklahoma,Muskogee County,14,19,4986,3674,69806,17134,24.55
41005,2005,Oregon,Clackamas County,16,57,22456,6303,359308,97501,27.14
41017,2005,Oregon,Deschutes County,12,33,11713,4259,140567,49304,35.08
41029,2005,Oregon,Jackson County,17,45,11453,4326,194701,49904,25.63
41039,2005,Oregon,Lane County,18,84,18657,3997,335831,85020,25.32
41041,2005,Oregon,Lincoln County,4,22,11336,2061,45347,16899,37.27
41043,2005,Oregon,Linn County,8,21,13516,5149,108132,26937,24.91
41047,2005,Oregon,Marion County,14,54,21390,5545,299461,77503,25.88
41051,2005,Oregon,Multnomah County,31,139,21769,4855,674862,144496,21.41
41067,2005,Oregon,Washington County,22,80,22307,6134,490773,118386,24.12
42003,2005,Pennsylvania,Allegheny County,144,213,8574,5797,1234787,416193,33.71
42009,2005,Pennsylvania,Bedford County,7,15,7098,3312,49691,13466,27.1
42037,2005,Pennsylvania,Columbia County,11,14,5957,4681,65535,21233,32.4
42059,2005,Pennsylvania,Greene County,7,6,5686,6634,39806,9223,23.17
42061,2005,Pennsylvania,Huntingdon County,9,7,5085,6538,45771,11265,24.61
