SEQN,Grocery,Nonfood,Other,EatOut,Delivery
84252,500,5.40E-79,60,150,60
84253,642,5.40E-79,80,60,5.40E-79
84254,300,5.40E-79,400,300,100
84255,300,5.40E-79,60,128,102
84256,1000,200,200,8,150
84257,350,5.40E-79,5.40E-79,50,5.40E-79
84258,350,5.40E-79,100,75,40
84259,535,85,5.40E-79,85,30
84260,700,200,5.40E-79,5.40E-79,5.40E-79
84261,500,5.40E-79,50,30,5.40E-79
84262,257,5.40E-79,200,214,40
84263,300,5.40E-79,5.40E-79,200,5.40E-79
84264,600,100,80,100,20
84265,1200,5.40E-79,5.40E-79,200,5.40E-79
84266,300,5.40E-79,200,100,5.40E-79
84267,,,,,
84268,1285,5.40E-79,5.40E-79,60,5.40E-79
84269,5.40E-79,5.40E-79,250,50,150
84270,500,5.40E-79,100,200,5.40E-79
84271,5.40E-79,5.40E-79,428,107,107
84272,300,5.40E-79,150,70,5.40E-79
84273,350,5.40E-79,5.40E-79,80,5.40E-79
84274,642,5.40E-79,150,200,5.40E-79
84275,600,100,100,500,100
84276,150,60,128,192,35
84277,300,5.40E-79,5.40E-79,100,5.40E-79
84278,400,5.40E-79,100,150,5.40E-79
84279,200,5.40E-79,40,85,85
84280,100,50,600,64,5.40E-79
84281,400,5.40E-79,5.40E-79,250,5.40E-79
84282,1600,5.40E-79,5.40E-79,200,5.40E-79
84283,400,40,60,150,18
84284,400,100,220,5.40E-79,33
84285,600,5.40E-79,5.40E-79,10,5.40E-79
84286,25,5.40E-79,40,20,5.40E-79
84287,200,5.40E-79,250,200,50
84288,1000,200,50,100,40
84289,300,90,250,317,5.40E-79
84290,800,5.40E-79,5.40E-79,300,50
84291,400,5.40E-79,40,200,5.40E-79
84292,857,5.40E-79,5.40E-79,999999,50
84293,600,50,5.40E-79,80,5.40E-79
84294,600,150,5.40E-79,257,20
84295,200,30,100,80,40
84296,400,5.40E-79,857,428,5.40E-79
84297,140,5.40E-79,5.40E-79,999999,5.40E-79
84298,120,5.40E-79,170,50,5.40E-79
