GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
06089,2007,15,172,2263,42,1478,40238
06093,2007,3,25,218,21,426,8430
06097,2007,31,282,4156,130,5380,147520
06099,2007,28,445,5487,133,3799,99821
06107,2007,24,396,4102,119,2617,61874
06111,2007,54,651,10978,156,6198,170291
06113,2007,12,158,1929,40,1762,47194
08013,2007,10,379,6247,45,2869,72795
08031,2007,45,351,6058,105,4214,109541
08035,2007,7,269,4744,22,2261,56162
08043,2007,7,54,645,6,193,4829
08069,2007,13,303,4821,27,2096,52938
08087,2007,7,36,435,5,166,3769
08105,2007,4,24,405,7,134,2964
09001,2007,44,239,3792,223,9720,254114
09003,2007,67,643,7544,215,10249,218564
09005,2007,9,92,2123,43,2426,44749
09007,2007,10,91,1180,28,1408,29596
09009,2007,54,474,6083,172,7882,169069
09011,2007,26,240,4270,48,2712,54645
09013,2007,5,49,549,20,1542,30342
10001,2007,21,208,2412,24,922,17875
10003,2007,43,473,5635,82,4480,102483
10005,2007,42,409,5197,45,1357,30528
11001,2007,32,220,4861,189,3777,110094
12001,2007,25,214,2992,45,3316,57782
12009,2007,50,494,5538,81,4564,90046
12017,2007,15,144,1864,19,1247,21967
12019,2007,17,151,1951,29,1667,33012
12021,2007,17,122,1792,63,3547,78810
12023,2007,11,133,1686,5,279,5324
12027,2007,3,25,314,10,210,3640
12031,2007,95,1021,13868,225,8232,150260
12033,2007,44,350,4868,60,1646,27572
12039,2007,8,62,731,8,209,3354
12045,2007,4,32,388,3,134,2530
12055,2007,13,124,1499,22,869,14910
12057,2007,97,910,12566,263,10862,199940
12063,2007,14,106,1421,10,260,4156
12071,2007,44,396,6278,115,6653,138367
12075,2007,12,75,897,8,297,4880
12079,2007,5,51,533,3,153,2592
12081,2007,26,243,2907,63,3244,61730
12086,2007,273,1431,21327,597,21139,400736
12091,2007,22,237,2883,33,1250,25090
12095,2007,94,830,11956,230,9316,186221
12101,2007,46,411,5247,64,4005,72125
12103,2007,76,779,9938,200,10497,189235
12107,2007,13,105,1251,16,537,9427
12113,2007,18,137,1871,16,817,14011
12115,2007,23,245,2937,67,4204,85631
13009,2007,8,82,1010,11,371,5138
13013,2007,8,79,1111,12,676,11890
13015,2007,17,142,1940,16,570,9694
13017,2007,4,49,403,4,119,1556
13021,2007,28,345,4145,39,1396,25397
13023,2007,3,26,308,4,141,1695
13031,2007,12,88,1127,7,265,3632
13035,2007,6,61,699,5,99,1542
13039,2007,8,54,580,4,250,4270
13045,2007,30,193,2913,21,879,15184
13047,2007,10,126,1793,10,310,4770
13051,2007,32,272,3863,53,2421,35936
13057,2007,17,138,1741,30,1854,36123
13059,2007,12,134,1738,23,1008,17123
13063,2007,31,284,3659,49,1483,23915
13067,2007,62,572,8394,98,6376,125742
13071,2007,9,95,957,16,248,3395
13087,2007,8,62,798,9,190,3099
13089,2007,74,716,9477,128,6143,115452
13095,2007,19,185,2230,22,929,14861
13097,2007,12,108,1509,16,1160,18731
13099,2007,5,32,352,6,107,1533
13103,2007,7,50,604,5,185,2988
13107,2007,8,49,562,6,114,1355
13111,2007,7,70,832,8,255,3943
13113,2007,10,133,1461,17,1342,24475
13117,2007,9,63,960,29,2016,35984
13119,2007,7,52,667,5,178,2493
13121,2007,79,839,13165,190,8960,178415
13123,2007,4,26,339,5,148,2700
13127,2007,13,122,1660,23,707,13430
13133,2007,5,47,433,8,196,4016
13135,2007,62,496,6522,125,6577,128864
13137,2007,13,85,1181,7,420,6048
13139,2007,22,148,2235,32,1358,25470
13145,2007,5,46,597,8,102,1236
13151,2007,18,200,2333,26,1626,32030
13153,2007,21,160,1984,21,946,16642
13163,2007,11,91,786,7,215,3427
13175,2007,14,122,1579,7,493,6689
13179,2007,9,84,1112,7,179,2470
13185,2007,19,184,2517,13,660,11871
13193,2007,3,27,300,7,97,1396
13199,2007,6,71,698,8,216,2292
13205,2007,7,56,580,13,210,2617
13217,2007,10,112,1241,15,830,14238
13237,2007,5,25,345,3,114,1645
13245,2007,38,365,4174,37,1190,21628
13247,2007,8,97,1167,22,887,16398
13255,2007,10,123,1229,16,570,8026
13261,2007,11,89,828,9,230,3333
13267,2007,6,38,570,5,133,1991
13273,2007,4,31,371,4,88,1311
13275,2007,13,135,1509,10,300,5407
13279,2007,10,73,969,5,112,1538
13285,2007,15,107,1439,14,600,9335
13291,2007,6,60,1042,5,204,2861
13293,2007,4,48,434,8,150,2353
13311,2007,7,40,506,5,274,4155
15001,2007,14,121,1936,36,1870,47006
15003,2007,32,1336,30605,195,5648,124145
15007,2007,7,60,1053,22,784,17560
15009,2007,14,109,1833,41,1377,36484
16001,2007,24,322,4595,46,2469,70626
16005,2007,11,88,1132,9,368,8282
16017,2007,5,33,622,12,327,6177
16019,2007,11,391,5790,9,456,11712
16027,2007,13,182,2320,21,569,14186
16055,2007,9,76,1080,19,905,20044
16083,2007,8,116,1538,20,524,10543
17015,2007,3,36,479,4,105,1379
17019,2007,16,277,3872,33,1210,18802
17021,2007,5,48,596,9,188,3220
17029,2007,8,99,1334,5,279,3484
17031,2007,501,3553,53170,1460,40340,837018
17037,2007,11,172,2488,13,517,8880
17043,2007,45,475,6117,175,7999,172002
17049,2007,8,112,1507,10,332,5660
17053,2007,5,62,1069,4,161,1989
17073,2007,7,135,1959,12,278,4196
17077,2007,8,139,1464,14,464,9259
17083,2007,3,18,274,3,114,1417
17085,2007,3,17,297,8,171,2176
17089,2007,38,348,4769,80,3332,65001
17097,2007,45,336,4321,121,5825,117918
17099,2007,12,242,3786,25,1036,17583
17103,2007,5,38,357,6,169,2636
17107,2007,6,49,745,7,169,3119
17109,2007,6,111,1432,6,337,5547
17111,2007,17,285,3915,44,1776,35975
17113,2007,14,279,3430,29,899,15607
17115,2007,17,244,3215,13,502,9670
17119,2007,34,340,3774,48,1928,37389
17125,2007,5,49,630,5,167,1813
17141,2007,4,39,325,9,320,4683
17143,2007,21,264,4244,36,1012,19791
17157,2007,7,58,691,8,174,2991
17159,2007,3,22,293,3,80,808
17161,2007,21,274,4104,23,1432,23660
17163,2007,25,239,3013,47,1535,31853
17173,2007,4,28,420,5,108,1209
17183,2007,17,281,4131,16,557,7563
17189,2007,6,68,1190,9,75,1198
17197,2007,34,315,4218,85,4749,93420
17201,2007,37,578,8346,53,2132,44642
18001,2007,8,90,878,5,162,1919
18003,2007,34,312,4031,57,2392,31242
18005,2007,11,289,4094,18,466,13381
18009,2007,5,45,447,6,114,3009
18011,2007,3,38,493,10,355,7105
18017,2007,7,100,1176,8,227,6584
18019,2007,15,142,2055,20,513,11262
18031,2007,3,20,232,8,123,2912
18033,2007,7,35,498,8,244,3733
18039,2007,25,213,2690,36,1501,24357
18045,2007,5,56,762,4,211,2362
18047,2007,4,52,546,12,142,1879
18053,2007,12,94,1162,9,605,10432
18057,2007,10,96,1309,39,2133,44669
18061,2007,4,31,321,6,179,3668
18065,2007,7,82,969,8,226,5086
18067,2007,14,160,2051,12,402,8732
18069,2007,7,58,609,5,178,4478
18081,2007,13,131,1199,14,613,15132
18085,2007,14,129,1303,8,284,7199
18087,2007,7,66,1159,7,133,2618
18089,2007,55,493,6042,82,4073,73888
18091,2007,14,93,1509,22,772,11543
18095,2007,17,192,2351,21,842,18712
18097,2007,109,915,12736,150,5483,127921
18099,2007,9,102,1063,11,388,4388
18105,2007,9,86,1136,24,1190,23858
18107,2007,5,55,796,7,270,4435
18109,2007,6,33,460,8,355,9792
18113,2007,11,122,1312,8,260,2641
18123,2007,4,23,315,4,99,1065
18145,2007,5,39,584,10,295,5971
18149,2007,9,136,3009,7,180,1898
18151,2007,8,52,627,12,436,4451
18163,2007,28,343,4181,29,1439,24190
18167,2007,20,303,3663,20,869,12910
18169,2007,5,44,456,3,134,3275
18173,2007,6,43,502,10,330,5419
18175,2007,4,28,262,6,172,2896
18177,2007,9,89,1035,14,311,5275
19001,2007,3,23,316,3,68,729
19005,2007,4,48,573,7,168,2490
19013,2007,13,210,3025,21,1326,21946
19029,2007,4,35,748,7,221,3533
19033,2007,7,51,461,8,639,9909
19037,2007,3,45,804,4,122,1479
19045,2007,11,105,1679,9,476,7553
19049,2007,7,80,1683,9,840,14784
19061,2007,11,138,1552,11,1250,17986
19099,2007,5,39,655,7,257,4003
19103,2007,4,31,336,26,1465,29351
19127,2007,7,70,1278,10,408,6766
19137,2007,3,31,337,3,192,2841
19141,2007,4,60,876,7,221,2797
19153,2007,36,366,4624,63,5163,88921
19165,2007,4,42,783,4,202,2551
19169,2007,7,116,1450,10,825,15766
19171,2007,3,43,527,4,144,1483
19179,2007,4,40,324,6,468,7511
19183,2007,4,25,445,4,229,3861
19185,2007,3,21,115,4,52,586
19187,2007,5,61,604,7,358,6144
19191,2007,3,9,117,7,184,2810
19197,2007,4,42,456,6,156,1938
20005,2007,3,26,400,3,96,1072
20021,2007,6,46,463,6,105,1256
20037,2007,4,47,560,6,235,3537
20045,2007,8,64,757,17,1407,21093
20091,2007,27,254,3187,72,5462,105594
20121,2007,5,21,276,4,225,3633
20131,2007,5,30,378,7,152,1556
20177,2007,15,153,1563,35,1401,22745
20209,2007,20,167,2213,23,748,15003
21003,2007,6,62,755,5,97,1244
21009,2007,9,70,912,10,189,2610
21013,2007,9,66,952,12,266,5339
21019,2007,9,84,1087,11,731,9664
21021,2007,10,100,1284,7,174,3617
