GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay
13279,2015,8,73,1284,4,161,2877
13285,2015,18,137,2186,15,581,10811
13293,2015,7,51,793,7,164,2724
13297,2015,14,113,1688,9,497,10269
13299,2015,10,88,1935,7,230,5216
13311,2015,8,41,598,4,273,4210
13313,2015,27,204,3070,23,549,12612
13317,2015,4,33,468,3,127,2126
15001,2015,9,67,1069,43,2198,59733
15003,2015,12,801,25061,182,6246,161015
15009,2015,9,65,1314,43,1907,59441
16001,2015,33,364,6360,47,3575,75444
16005,2015,9,76,1099,10,499,10018
16013,2015,8,43,696,5,398,11121
16017,2015,8,89,2024,13,434,9476
16019,2015,6,90,1464,11,615,13462
16027,2015,19,199,3692,23,1047,22078
16031,2015,13,109,1597,6,258,5091
16039,2015,5,36,649,4,205,3569
16055,2015,11,92,1275,22,1158,23770
16057,2015,3,14,237,7,450,10061
16083,2015,12,116,1978,17,607,12932
16085,2015,5,17,187,5,157,3666
17001,2015,11,79,1368,10,995,17037
17007,2015,6,94,1438,6,166,3426
17019,2015,20,425,6442,37,1305,23785
17021,2015,6,44,715,8,227,3693
17027,2015,8,54,898,8,221,3983
17029,2015,9,159,1752,7,286,4532
17031,2015,446,3921,64492,1487,53067,1045768
17037,2015,12,201,3120,11,931,14651
17043,2015,48,448,7057,168,10859,191308
17051,2015,6,141,1365,3,70,1072
17055,2015,11,160,1784,5,135,2782
17057,2015,7,96,1402,6,383,7026
17073,2015,9,149,2427,11,172,3530
17077,2015,10,195,2267,13,488,10161
17081,2015,7,74,1083,10,317,5586
17085,2015,4,23,408,4,118,1680
17089,2015,34,453,7090,76,3731,67393
17091,2015,13,270,4453,20,810,14413
17095,2015,9,112,1642,9,729,12402
17097,2015,45,385,6084,115,7324,134069
17099,2015,16,344,5001,21,1022,19145
17103,2015,4,30,459,7,169,2837
17105,2015,7,144,2229,10,308,5523
17107,2015,6,53,970,4,139,2557
17109,2015,6,122,1536,8,394,6663
17111,2015,17,310,4441,44,2705,39712
17113,2015,17,217,3556,31,1796,27885
17115,2015,21,302,4681,24,668,13461
17119,2015,33,355,5072,41,1778,41718
17121,2015,8,52,807,4,135,2303
17135,2015,7,149,1775,4,129,2536
17141,2015,6,37,645,8,279,4457
17143,2015,27,280,5631,52,1601,33410
17145,2015,5,24,395,5,130,2775
17157,2015,7,53,717,6,154,3371
17161,2015,20,254,4393,27,1981,35177
17163,2015,38,324,5131,44,1564,36569
17165,2015,8,169,2964,7,172,3926
17167,2015,27,265,4834,32,1888,39431
17177,2015,6,136,2388,6,262,5429
17179,2015,20,255,4599,16,710,14262
17183,2015,21,307,5970,16,551,8802
17195,2015,9,138,2234,8,341,5150
17197,2015,42,365,6006,95,5743,92186
17199,2015,15,238,4098,12,346,7799
17201,2015,40,640,10364,57,1956,43596
18001,2015,8,118,1298,5,166,2837
18003,2015,38,320,5883,52,1941,42140
18005,2015,9,120,2269,11,370,7761
18009,2015,4,31,338,3,97,1501
18011,2015,4,39,555,6,271,4894
18017,2015,9,152,1703,6,186,3545
18019,2015,22,194,3413,13,646,12571
18023,2015,5,104,1032,5,99,1854
18027,2015,7,35,530,6,141,2219
18029,2015,7,48,827,6,236,5031
18031,2015,6,114,1314,6,109,1692
18035,2015,20,211,3056,10,430,7456
18037,2015,9,187,3437,10,298,3832
18039,2015,23,167,2748,38,1393,28193
18047,2015,5,56,562,6,255,4855
18051,2015,9,90,1350,6,139,1965
18053,2015,13,134,1955,7,219,4185
18057,2015,13,124,2245,36,2512,49895
18059,2015,7,62,973,5,265,4949
18063,2015,15,123,1766,10,741,15843
18065,2015,8,96,1488,8,210,4173
18067,2015,15,175,2741,12,465,10023
18071,2015,9,64,1095,8,361,5298
18073,2015,7,66,880,8,299,4554
18077,2015,6,63,886,6,144,2987
18081,2015,13,145,2534,9,520,10873
18085,2015,13,102,1728,14,492,9565
18087,2015,8,65,1455,5,214,4669
18089,2015,72,663,11015,88,3848,73427
18091,2015,15,113,1656,19,488,9514
18093,2015,9,61,1600,8,262,4395
18095,2015,18,204,3104,19,827,15208
18097,2015,136,1279,21184,177,6364,140434
18099,2015,11,72,999,8,300,5455
18103,2015,7,62,644,10,223,4195
18105,2015,9,143,2267,19,1069,22806
18107,2015,5,39,647,7,254,5332
18109,2015,9,127,1767,7,358,6961
18113,2015,11,130,1523,8,199,3632
18127,2015,14,141,2384,12,1008,17224
18137,2015,7,47,611,7,194,2673
18141,2015,31,284,4042,42,2123,38856
18145,2015,7,122,1573,5,158,3645
18149,2015,6,141,3897,5,96,1756
18151,2015,8,80,1561,7,98,1445
18157,2015,15,287,3094,26,1003,19190
18163,2015,32,435,7189,39,1274,25787
18167,2015,23,346,6159,17,730,15489
18177,2015,12,98,1428,10,294,5775
18183,2015,6,31,476,5,161,2923
19005,2015,3,46,769,7,164,2622
19011,2015,5,74,873,3,120,2309
19013,2015,14,216,3496,25,1626,32037
