GeoID,Pop_2010,FD_num_2010,FD_pct_2010
13143,28780,1099,3.82
13145,32024,209,0.65
13147,25213,832,3.3
13149,11834,421,3.56
13151,203922,70656,34.65
13153,139900,50674,36.22
13155,9538,678,7.11
13157,60485,584,0.97
13159,13900,916,6.59
13161,15068,1910,12.67
13163,16930,336,1.99
13165,8340,1034,12.39
13167,9980,2189,21.94
13169,28669,1942,6.77
13171,18317,1016,5.55
13173,10078,499,4.95
13175,48434,4791,9.89
13177,28298,5407,19.11
13179,63453,24802,39.09
13181,7996,447,5.59
13183,14464,1518,10.49
13185,109233,22947,21.01
13187,29966,370,1.23
13189,21875,2063,9.43
13191,14333,1259,8.78
13193,14740,2570,17.44
13195,28120,800,2.84
13197,8742,8093,92.57
13199,21992,321,1.46
13201,6125,224,3.66
13205,23498,4795,20.41
13207,26424,2826,10.7
13209,9123,1075,11.79
13211,17868,3569,19.97
13213,39628,5667,14.3
13215,189885,62464,32.9
13217,99958,25557,25.57
13219,32808,9712,29.6
13221,14899,674,4.52
13223,142324,34015,23.9
13225,27695,5877,21.22
13227,29431,1813,6.16
13229,18758,2277,12.14
13231,17869,0,0.0
13233,41475,4735,11.42
13235,12010,1212,10.09
13237,21218,741,3.49
13239,2513,872,34.7
13241,16276,116,0.71
13243,7719,471,6.1
13245,200549,67308,33.56
13247,85215,39854,46.77
13249,5010,44,0.89
13251,14593,3131,21.45
13253,8729,641,7.34
13255,64073,10916,17.04
13257,26175,2690,10.28
13259,6058,1034,17.07
13261,32819,7427,22.63
13263,6865,306,4.45
13265,1717,1184,68.94
13267,25520,954,3.74
13269,8906,653,7.33
13271,16500,1370,8.3
13273,9315,116,1.25
13275,44720,12043,26.93
13277,40118,3927,9.79
13279,27223,4540,16.68
13281,10471,1,0.01
13283,6885,1012,14.7
13285,67044,9862,14.71
13287,8930,724,8.1
13289,9023,98,1.08
13291,21356,7,0.03
13293,27153,4930,18.15
13295,68756,17467,25.4
13297,83768,15470,18.47
13299,36312,13610,37.48
13301,5834,86,1.48
13303,21187,5635,26.6
13305,30099,8513,28.28
13307,2799,56,2.0
13309,7421,12,0.16
13311,27144,0,0.0
13313,102599,27693,26.99
13315,9255,69,0.74
13317,10593,3241,30.59
13319,9563,2020,21.13
13321,21679,2450,11.3
15001,185079,68849,37.2
15003,953207,189030,19.83
15005,90,0,0.0
15007,67091,28205,42.04
15009,154834,55755,36.01
16001,392365,71884,18.32
16003,3976,424,10.67
16005,82839,25194,30.41
16007,5986,1549,25.88
16009,9285,2583,27.82
16011,45607,9352,20.51
16013,21376,6105,28.56
16015,7028,6327,90.03
16017,40877,7651,18.72
16019,104234,24727,23.72
16021,10972,2011,18.33
16023,2891,605,20.93
16025,1117,1117,100.0
16027,188923,39744,21.04
16029,6963,2190,31.45
16031,22952,5399,23.52
16033,982,982,100.0
16035,8761,1929,22.01
16037,4368,960,21.97
16039,27038,9310,34.43
16041,12786,919,7.19
16043,13242,1654,12.49
16045,16719,6154,36.81
16047,15464,2016,13.04
16049,16267,5584,34.33
16051,26140,3048,11.66
16053,22374,4916,21.97
16055,138494,34524,24.93
16057,37244,5786,15.53
16059,7936,3310,41.71
16061,3821,1853,48.49
16063,5208,5074,97.43
16065,37536,6607,17.6
16067,20069,2536,12.64
16069,39265,6993,17.81
16071,4286,491,11.46
16073,11526,2056,17.84
16075,22623,5407,23.9
16077,7817,1085,13.88
16079,12765,552,4.32
16081,10170,906,8.91
16083,77230,7226,9.36
16085,9862,1780,18.05
16087,10198,2133,20.91
17001,67103,10505,15.66
17003,8238,3859,46.84
17005,17768,2081,11.71
17007,54165,9064,16.73
17009,6937,1910,27.54
17011,34978,12483,35.69
17013,5089,792,15.57
17015,15387,1841,11.97
17017,13642,1468,10.76
17019,201081,29430,14.64
17021,34800,3502,10.06
17023,16335,1417,8.67
17025,13815,2133,15.44
17027,37762,4187,11.09
17029,53873,7996,14.84
17031,5194675,415200,7.99
17033,19817,2927,14.77
17035,11048,92,0.83
17037,105160,26415,25.12
17039,16561,716,4.32
17041,19980,1971,9.87
17043,916924,250485,27.32
17045,18576,6745,36.31
17047,6721,1243,18.5
17049,34242,5860,17.11
17051,22140,7108,32.11
17053,14081,2583,18.35
17055,39561,4415,11.16
17057,37069,4614,12.45
17059,5589,4856,86.89
17061,13886,260,1.87
17063,50063,9126,18.23
17065,8457,1547,18.29
17067,19104,10205,53.42
17069,4320,1025,23.73
17071,7331,102,1.39
17073,50486,9452,18.72
17075,29718,4187,14.09
17077,60218,14240,23.65
17079,9698,1504,15.51
17081,38827,8697,22.4
17083,22985,3493,15.2
17085,22678,4523,19.95
17087,12582,2221,17.65
17089,515269,101403,19.68
17091,113449,16980,14.97
17093,114736,27649,24.1
17095,52919,7394,13.97
17097,703462,254430,36.17
17099,113924,26677,23.42
17101,16833,2109,12.53
17103,36031,3793,10.53
17105,38950,3338,8.57
17107,30305,9652,31.85
17109,32612,9394,28.81
17111,308760,133011,43.08
17113,169572,46403,27.36
17115,110768,33167,29.94
17117,47765,4407,9.23
17119,269282,85509,31.75
17121,39437,10003,25.36
17123,12640,1718,13.6
17125,14666,1035,7.06
17127,15429,1943,12.59
17129,12705,351,2.76
17131,16434,3783,23.02
17133,32957,6576,19.95
17135,30104,4562,15.16
17137,35547,8930,25.12
17139,14846,439,2.96
17141,53497,6654,12.44
17143,186494,55265,29.63
17145,22350,4609,20.62
17147,16729,511,3.06
17149,16430,3953,24.06
17151,4470,1328,29.7
17153,6161,3551,57.63
17155,6006,0,0.0
17157,33476,4448,13.29
17159,16233,803,4.95
17161,147546,30120,20.41
17163,270056,112883,41.8
17165,24913,8689,34.88
17167,197465,62373,31.59
17169,7544,1055,13.99
17171,5355,223,4.17
17173,22363,3527,15.77
17175,5994,1799,30.02
17177,47711,4194,8.79
17179,135394,54675,40.38
17181,17808,1402,7.88
17183,81625,14337,17.56
17185,11947,1007,8.43
17187,17707,128,0.72
17189,14716,1629,11.07
17191,16760,3416,20.38
17193,14665,4384,29.9
17195,58498,9949,17.01
17197,677560,242455,35.78
17199,66357,11943,18.0
17201,295266,72887,24.69
17203,38664,2901,7.5
18001,34387,2455,7.14
18003,355329,117581,33.09
18005,76794,18061,23.52
