GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2015,FD_num_2015,FD_pct_2015,D_Cap,G_Cap
12111,2015,25,251,3565,43,1990,47650,298307,102411,36.87,4096,6937
12113,2015,26,198,3169,15,865,20040,166850,62096,41.02,2388,11123
12115,2015,36,352,5385,89,4909,113401,404903,100808,26.57,2800,4549
12117,2015,48,362,6830,67,4503,98405,448722,116001,27.44,2417,6697
12121,2015,8,81,1248,6,230,4853,43651,7073,17.02,884,7275
12127,2015,81,724,11667,69,4540,103055,518190,171051,34.58,2112,7510
12131,2015,10,62,990,10,600,15078,63459,6982,12.69,698,6346
13009,2015,12,111,1745,7,450,7153,45431,7587,16.6,632,6490
13015,2015,21,174,2493,16,665,12675,102533,32530,32.48,1549,6408
13019,2015,7,85,894,6,132,2834,18966,3723,19.3,532,3161
13021,2015,41,423,6297,35,1485,30281,153540,38423,24.7,937,4387
13027,2015,5,36,554,3,83,1638,15692,1355,8.34,271,5231
13029,2015,6,60,745,7,430,8460,35052,7791,25.77,1299,5007
13031,2015,13,130,1819,12,416,8361,73213,4474,6.37,344,6101
13039,2015,10,79,1199,6,304,6234,52543,22129,43.81,2213,8757
13045,2015,32,254,4478,26,1018,19587,114689,24209,21.9,757,4411
13047,2015,11,119,1733,7,169,3580,65897,22294,34.87,2027,9414
13051,2015,46,382,6328,54,2605,54821,286622,58615,22.11,1274,5308
13057,2015,18,141,2214,35,2037,45122,235609,63652,29.7,3536,6732
13059,2015,18,153,2672,25,931,18683,123629,40505,34.7,2250,4945
13063,2015,53,475,7580,50,1402,27815,273567,99212,38.24,1872,5471
13067,2015,71,788,12267,111,6755,153135,740144,268612,39.04,3783,6668
13069,2015,13,97,1430,8,174,3262,43071,6630,15.65,510,5384
13071,2015,14,113,1641,14,178,3507,45755,7939,17.45,567,3268
13073,2015,12,94,1576,20,1157,23881,144080,21998,17.73,1833,7204
13075,2015,6,47,659,4,193,3716,17085,2219,12.89,370,4271
13077,2015,19,152,3105,20,1104,23278,138278,32150,25.25,1692,6914
13081,2015,6,52,640,16,336,4607,22850,1970,8.41,328,1428
13083,2015,6,44,566,5,184,3355,16202,909,5.47,152,3240
13087,2015,7,57,877,6,172,3038,27183,3707,13.31,530,4531
13089,2015,91,957,13752,152,6138,137068,732758,168085,24.29,1847,4821
13091,2015,6,47,640,6,103,1864,20863,596,2.73,99,3477
13095,2015,25,284,3883,20,795,15990,91259,36950,39.07,1478,4563
13097,2015,18,146,2494,17,1225,36073,140671,42655,32.22,2370,8275
13099,2015,5,37,559,4,132,2297,10487,1114,10.12,223,2622
13103,2015,8,70,999,4,219,4010,57155,6972,13.34,872,14289
13111,2015,8,73,1079,8,304,5224,24285,262,1.11,33,3036
13113,2015,16,133,2121,16,1361,29628,110546,35537,33.35,2221,6909
13115,2015,27,216,3109,14,459,9363,96303,19666,20.42,728,6879
13117,2015,14,120,1711,36,2134,48588,212125,46512,26.5,3322,5892
13119,2015,10,65,1061,5,175,3468,22319,198,0.9,20,4464
13121,2015,89,947,14369,202,9059,212061,1007803,215973,23.46,2427,4989
13127,2015,22,182,2867,19,802,16424,83634,21076,26.47,958,4402
13129,2015,14,110,1695,13,328,5945,56323,8192,14.84,585,4333
13133,2015,5,39,521,6,264,5191,16734,601,3.76,120,2789
13135,2015,69,689,9883,144,7440,164886,892926,238354,29.6,3454,6201
13137,2015,16,101,1609,7,380,6350,43926,7764,18.04,485,6275
13139,2015,24,189,3379,34,1559,32922,193257,48467,26.97,2019,5684
13151,2015,27,242,3745,28,1705,34323,217004,67873,33.28,2514,7750
13153,2015,22,195,3099,16,1097,21522,149962,51795,37.02,2354,9373
13157,2015,13,87,1307,6,498,10371,63038,2607,4.31,201,10506
13175,2015,16,144,2106,8,417,7332,47743,4790,9.89,299,5968
13177,2015,8,67,904,5,214,4383,29282,4298,15.19,537,5856
13179,2015,14,109,1876,6,217,4644,62529,27024,42.59,1930,10422
13185,2015,32,274,4289,12,729,15391,113739,26898,24.62,841,9478
13187,2015,6,38,544,3,84,1401,31294,353,1.18,59,10431
13197,2015,3,19,272,3,20,319,8637,5,0.06,2,2879
13199,2015,7,60,934,9,207,3504,21191,981,4.46,140,2355
13205,2015,7,53,776,6,114,1777,22493,2992,12.73,427,3749
13207,2015,5,26,382,4,149,2346,27107,2302,8.71,460,6777
13213,2015,12,94,1527,6,265,4739,39476,5367,13.54,447,6579
13215,2015,40,423,6924,43,1580,31996,199651,54151,28.52,1354,4643
13217,2015,18,141,2208,19,823,15784,105324,25322,25.33,1407,5543
13223,2015,18,131,2228,13,1026,20788,152253,35114,24.67,1951,11712
13225,2015,8,73,1185,6,118,2247,26665,5366,19.38,671,4444
13227,2015,7,36,644,5,315,5107,30301,1654,5.62,236,6060
13229,2015,7,50,811,3,89,1555,19130,2206,11.76,315,6377
13233,2015,11,92,1265,10,273,5312,41405,4895,11.8,445,4141
13241,2015,6,22,525,4,209,3427,16267,96,0.59,16,4067
13245,2015,44,413,6397,32,1718,34128,201401,78927,39.36,1794,6294
13247,2015,15,129,2009,19,893,18701,88678,35030,41.11,2335,4667
13255,2015,13,171,2344,12,402,6616,64016,10011,15.63,770,5335
13257,2015,5,30,474,5,206,3247,25500,3479,13.29,696,5100
13261,2015,9,95,1151,7,247,4119,30744,7064,21.52,785,4392
13271,2015,5,39,499,4,129,1331,16480,379,2.3,76,4120
13273,2015,3,24,367,6,80,1422,9099,630,6.76,210,1517
13275,2015,15,138,2218,8,319,6880,45038,12238,27.37,816,5630
13277,2015,16,127,1981,10,367,10784,40722,3447,8.59,215,4072
13279,2015,8,73,1284,4,161,2877,27166,4933,18.12,617,6792
13285,2015,18,137,2186,15,581,10811,69747,10881,16.23,605,4650
13293,2015,7,51,793,7,164,2724,26292,6801,25.05,972,3756
13297,2015,14,113,1688,9,497,10269,88495,14141,16.88,1010,9833
13299,2015,10,88,1935,7,230,5216,35422,14253,39.25,1425,5060
13313,2015,27,204,3070,23,549,12612,103976,23220,22.63,860,4521
13317,2015,4,33,468,3,127,2126,9890,1964,18.54,491,3297
15001,2015,9,67,1069,43,2198,59733,196156,72139,38.98,8015,4562
15003,2015,12,801,25061,182,6246,161015,993166,220465,23.13,18372,5457
15009,2015,9,65,1314,43,1907,59441,164269,46070,29.75,5119,3820
16001,2015,33,364,6360,47,3575,75444,433467,67383,17.17,2042,9223
16005,2015,9,76,1099,10,499,10018,83911,23876,28.82,2653,8391
16013,2015,8,43,696,5,398,11121,21548,6075,28.42,759,4310
16017,2015,8,89,2024,13,434,9476,41796,8194,20.04,1024,3215
16019,2015,6,90,1464,11,615,13462,109997,24101,23.12,4017,10000
16027,2015,19,199,3692,23,1047,22078,207086,36485,19.31,1920,9004
16031,2015,13,109,1597,6,258,5091,23497,6549,28.53,504,3916
16039,2015,5,36,649,4,205,3569,25790,8713,32.22,1743,6448
16055,2015,11,92,1275,22,1158,23770,150364,34069,24.6,3097,6835
16057,2015,3,14,237,7,450,10061,38723,4402,11.82,1467,5532
16083,2015,12,116,1978,17,607,12932,82107,4793,6.21,399,4830
16085,2015,5,17,187,5,157,3666,10083,1836,18.61,367,2017
17001,2015,11,79,1368,10,995,17037,66974,10346,15.42,941,6697
17007,2015,6,94,1438,6,166,3426,53490,11410,21.06,1902,8915
17019,2015,20,425,6442,37,1305,23785,207734,31716,15.77,1586,5614
17021,2015,6,44,715,8,227,3693,33546,3837,11.03,640,4193
17027,2015,8,54,898,8,221,3983,37809,5729,15.17,716,4726
17029,2015,9,159,1752,7,286,4532,52563,8283,15.38,920,7509
17031,2015,446,3921,64492,1487,53067,1045768,5224823,373742,7.19,838,3514
17037,2015,12,201,3120,11,931,14651,104541,29776,28.32,2481,9504
17043,2015,48,448,7057,168,10859,191308,931819,216272,23.59,4506,5547
17051,2015,6,141,1365,3,70,1072,22059,7660,34.6,1277,7353
17055,2015,11,160,1784,5,135,2782,39427,4242,10.72,386,7885
17057,2015,7,96,1402,6,383,7026,35750,6302,17,900,5958
17073,2015,9,149,2427,11,172,3530,49459,9344,18.51,1038,4496
17077,2015,10,195,2267,13,488,10161,59220,13247,22,1325,4555
17081,2015,7,74,1083,10,317,5586,38390,8548,22.02,1221,3839
17085,2015,4,23,408,4,118,1680,22034,4522,19.94,1131,5509
17089,2015,34,453,7090,76,3731,67393,529702,95266,18.49,2802,6970
17091,2015,13,270,4453,20,810,14413,110795,14468,12.75,1113,5540
17095,2015,9,112,1642,9,729,12402,51416,9510,17.97,1057,5713
17097,2015,45,385,6084,115,7324,134069,703413,248068,35.26,5513,6117
17099,2015,16,344,5001,21,1022,19145,111304,23592,20.71,1475,5300
17103,2015,4,30,459,7,169,2837,34427,3916,10.87,979,4918
17105,2015,7,144,2229,10,308,5523,36749,3290,8.45,470,3675
17107,2015,6,53,970,4,139,2557,29540,11045,36.44,1841,7385
17109,2015,6,122,1536,8,394,6663,31342,4131,12.67,689,3918
17111,2015,17,310,4441,44,2705,39712,307188,133295,43.17,7841,6982
17113,2015,17,217,3556,31,1796,27885,172673,46496,27.42,2735,5570
17115,2015,21,302,4681,24,668,13461,107377,29816,26.92,1420,4474
17119,2015,33,355,5072,41,1778,41718,266071,96437,35.81,2922,6490
17121,2015,8,52,807,4,135,2303,38378,10749,27.26,1344,9595
17135,2015,7,149,1775,4,129,2536,29196,7126,23.67,1018,7299
17141,2015,6,37,645,8,279,4457,51657,9409,17.59,1568,6457
17143,2015,27,280,5631,52,1601,33410,186315,47562,25.5,1762,3583
17145,2015,5,24,395,5,130,2775,21458,4795,21.45,959,4292
17157,2015,7,53,717,6,154,3371,32846,3836,11.46,548,5474
17161,2015,20,254,4393,27,1981,35177,145958,26108,17.69,1305,5406
17163,2015,38,324,5131,44,1564,36569,264079,90849,33.64,2391,6002
17165,2015,8,169,2964,7,172,3926,24574,9728,39.05,1216,3511
17167,2015,27,265,4834,32,1888,39431,198496,47888,24.25,1774,6203
17177,2015,6,136,2388,6,262,5429,45791,3553,7.45,592,7632
17179,2015,20,255,4599,16,710,14262,134735,58388,43.12,2919,8421
17183,2015,21,307,5970,16,551,8802,78990,11871,14.54,565,4937
17195,2015,9,138,2234,8,341,5150,56963,13052,22.31,1450,7120
17197,2015,42,365,6006,95,5743,92186,686687,217703,32.13,5183,7228
