GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010
21199,2010,18,168,2983,20,370,7799,63063,8831,14.0
21205,2010,6,43,837,7,251,5315,23333,1624,6.96
21207,2010,6,50,591,4,151,2909,17565,428,2.43
22001,2010,16,102,1619,23,489,7945,61773,1051,1.7
22003,2010,12,87,1320,4,132,1616,25764,9454,36.7
22005,2010,15,134,2126,20,722,12892,107215,42579,39.71
22009,2010,21,120,1968,12,205,3309,42073,8825,20.98
22017,2010,39,316,5991,30,1620,32323,254969,84385,33.1
22019,2010,46,311,5356,31,1270,22417,192768,42273,21.93
22021,2010,3,22,433,7,368,5667,10132,1135,11.2
22033,2010,60,485,8658,128,3885,65118,440171,124309,28.24
22039,2010,9,52,878,16,184,2388,33984,5506,16.2
22041,2010,5,35,520,5,171,2803,20767,2200,10.59
22045,2010,17,128,2071,20,557,11564,73240,11815,16.13
22047,2010,7,49,948,12,209,3547,33387,5139,15.39
22051,2010,52,537,9876,99,3826,76856,432552,52281,12.09
22053,2010,7,42,753,9,154,2796,31594,2291,7.25
22055,2010,39,274,4857,57,2066,35484,221578,57407,25.91
22063,2010,18,135,2459,17,629,11095,128026,24585,19.2
22067,2010,6,44,803,5,161,3605,27979,6896,24.65
22069,2010,6,45,758,8,220,4079,39566,10794,27.28
22071,2010,31,301,5444,139,2082,41819,343829,87617,25.48
22073,2010,30,266,4095,23,951,17715,153720,63892,41.56
22085,2010,6,45,812,7,244,5155,24233,6385,26.35
22087,2010,12,123,2266,10,287,5148,35897,15392,42.88
22089,2010,8,68,1003,8,304,5225,52780,29520,55.93
22093,2010,5,41,624,6,217,3934,22102,4399,19.9
22095,2010,9,87,1409,11,257,4516,45924,20009,43.57
22097,2010,26,165,2794,29,693,12485,83384,11479,13.77
22099,2010,9,69,1029,16,374,7757,52160,3989,7.65
22101,2010,12,78,1333,15,450,7988,54650,13658,24.99
22103,2010,40,316,5402,35,1896,37985,233740,59880,25.62
